TeamID,name,score,index
99566405129589291,Golden Guardians Challengers,45.678885982066795,91
105515345386578249,Solary,45.64406686462131,92
107598805167594304,Wap Esports,44.98839997036991,93
108573042084687884,TEAM WHALES,44.61687150687335,94
103877675241047720,LDLC OL,44.46376783336649,95
109523293035238887,Aegis,43.3067503719228,96
109675484017801229,Team Bliss,41.40336841231816,97
98767991866488695,Fnatic,40.459996100262984,98
102787200136756173,Berlin International Gaming,37.9988682161418,99
106827827857159558,V3 Academy,34.193604864567725,100
107563714667537640,Team BDS,33.76910007536482,101
98767991892579754,Royal Never Give Up,31.91317812964764,102
107564167676290839,Rebels,31.39268586455061,103
105913238372341488,Wildcard,31.37758739106403,104
109668849651338559,FENNEL,30.974657466434905,105
105536643047197642,NASR ESPORTS,30.96801694277643,106
110418022381234710,SPIKE Syndicate,30.549200609589825,107
110733870612047344,Team Coachify,30.153652091196758,108
